danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.551,0.768,4,-5.147,1,0.0386,0.213,0,0.253,0.35,100.037,audio_features,6Qq8UOS6QzeSYFUVXC5wEB,spotify:track:6Qq8UOS6QzeSYFUVXC5wEB,https://api.spotify.com/v1/tracks/6Qq8UOS6QzeSYFUVXC5wEB,https://api.spotify.com/v1/audio-analysis/6Qq8UOS6QzeSYFUVXC5wEB,222760,4
danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.682,0.656,1,-9.558,1,0.0484,0.401,3.75e-06,0.104,0.539,107.984,audio_features,7kJBYHytiARJlRygfg5VCn,spotify:track:7kJBYHytiARJlRygfg5VCn,https://api.spotify.com/v1/tracks/7kJBYHytiARJlRygfg5VCn,https://api.spotify.com/v1/audio-analysis/7kJBYHytiARJlRygfg5VCn,208294,4
0.738,0.856,7,-7.268,1,0.0761,0.0317,4.42e-05,0.109,0.77,125.023,audio_features,24uvFK1ceLlMEa5WqZAQoB,spotify:track:24uvFK1ceLlMEa5WqZAQoB,https://api.spotify.com/v1/tracks/24uvFK1ceLlMEa5WqZAQoB,https://api.spotify.com/v1/audio-analysis/24uvFK1ceLlMEa5WqZAQoB,151627,4
0.545,0.905,5,-3.823,1,0.0684,0.103,0,0.182,0.735,141.131,audio_features,1nysdCpKAh6yif4JkmoiNy,spotify:track:1nysdCpKAh6yif4JkmoiNy,https://api.spotify.com/v1/tracks/1nysdCpKAh6yif4JkmoiNy,https://api.spotify.com/v1/audio-analysis/1nysdCpKAh6yif4JkmoiNy,243027,4
0.611,0.806,7,-2.916,0,0.0361,0.0369,0,0.341,0.602,130.005,audio_features,5uYnVpwOGOaiXTJmhNd62P,spotify:track:5uYnVpwOGOaiXTJmhNd62P,https://api.spotify.com/v1/tracks/5uYnVpwOGOaiXTJmhNd62P,https://api.spotify.com/v1/audio-analysis/5uYnVpwOGOaiXTJmhNd62P,242495,4
0.83,0.603,7,-6.618,1,0.0344,0.211,0,0.0575,0.86,121.964,audio_features,6jRyCWUAnRVir3OK4jSZvV,spotify:track:6jRyCWUAnRVir3OK4jSZvV,https://api.spotify.com/v1/tracks/6jRyCWUAnRVir3OK4jSZvV,https://api.spotify.com/v1/audio-analysis/6jRyCWUAnRVir3OK4jSZvV,201252,4
0.596,0.795,6,-4.778,1,0.0284,0.000147,0.000317,0.16,0.577,130.037,audio_features,2ZT6eELxeETGamaiXu6vmk,spotify:track:2ZT6eELxeETGamaiXu6vmk,https://api.spotify.com/v1/tracks/2ZT6eELxeETGamaiXu6vmk,https://api.spotify.com/v1/audio-analysis/2ZT6eELxeETGamaiXu6vmk,289720,4
0.479,0.898,1,-4.809,1,0.169,0.0134,0,0.297,0.639,151.99,audio_features,12usPU2WnqgCHAW1EK2dfd,spotify:track:12usPU2WnqgCHAW1EK2dfd,https://api.spotify.com/v1/tracks/12usPU2WnqgCHAW1EK2dfd,https://api.spotify.com/v1/audio-analysis/12usPU2WnqgCHAW1EK2dfd,196467,4
0.702,0.511,8,-7.623,1,0.0645,0.328,2.08e-06,0.0879,0.554,128.915,audio_features,5hXzy6s8VF91bebMSzsd8O,spotify:track:5hXzy6s8VF91bebMSzsd8O,https://api.spotify.com/v1/tracks/5hXzy6s8VF91bebMSzsd8O,https://api.spotify.com/v1/audio-analysis/5hXzy6s8VF91bebMSzsd8O,241920,4
0.718,0.475,7,-11.469,1,0.0611,0.845,0.801,0.105,0.678,157.032,audio_features,4xk70Qur2QeRmWIzWPC63V,spotify:track:4xk70Qur2QeRmWIzWPC63V,https://api.spotify.com/v1/tracks/4xk70Qur2QeRmWIzWPC63V,https://api.spotify.com/v1/audio-analysis/4xk70Qur2QeRmWIzWPC63V,230110,4
0.681,0.603,6,-5.963,1,0.0304,0.157,0,0.126,0.261,98.951,audio_features,6D5E8pz4YKYrjY9BqROTox,spotify:track:6D5E8pz4YKYrjY9BqROTox,https://api.spotify.com/v1/tracks/6D5E8pz4YKYrjY9BqROTox,https://api.spotify.com/v1/audio-analysis/6D5E8pz4YKYrjY9BqROTox,271453,4
0.649,0.641,8,-4.665,1,0.0251,0.433,0,0.11,0.63,102.983,audio_features,2cxcqKwQtfKq7giphxjzOu,spotify:track:2cxcqKwQtfKq7giphxjzOu,https://api.spotify.com/v1/tracks/2cxcqKwQtfKq7giphxjzOu,https://api.spotify.com/v1/audio-analysis/2cxcqKwQtfKq7giphxjzOu,215853,4
0.675,0.5,10,-5.825,1,0.0258,0.3,0,0.337,0.773,93.917,audio_features,5v2xgL8y4XI0hi50cU574j,spotify:track:5v2xgL8y4XI0hi50cU574j,https://api.spotify.com/v1/tracks/5v2xgL8y4XI0hi50cU574j,https://api.spotify.com/v1/audio-analysis/5v2xgL8y4XI0hi50cU574j,232333,4
